campaign_id,advertiser,industry,account_tier,sales_rep,ad_format,platform,quarter,month,impressions,clicks,ctr,cpm,booked_revenue,budget,actual_revenue,delivery_rate,cost_of_sale,gross_margin,margin_pct,deal_status,payment_status
5001,Adobe,Technology,Enterprise,Priya S.,Sponsored Stream,Multi-Platform,Q3 2025,Jul,75341,1386,0.0184,30.09,2267.01,2022.82,2051.64,0.905,1095.58,956.06,46.6,Renewal Pending,Received
5002,Intel,Technology,Growth,Maria G.,Sponsored Stream,Mobile,Q3 2025,Jul,140845,3999,0.0284,28.18,3969.01,3576.24,3714.99,0.936,1668.03,2046.96,55.1,Closed Won,Received
5003,Warner Bros,Entertainment,Growth,Alex T.,Video Pre-Roll,Desktop,Q1 2025,Mar,50120,1283,0.0256,28.45,1425.91,1436.21,1246.25,0.874,584.49,661.76,53.1,In Flight,Pending
5004,Unilever,CPG,Mid-Market,David R.,Sponsored Stream,Mobile,Q3 2025,Aug,50000,1175,0.0235,27.01,1350.5,1396.5,1200.59,0.889,337.37,863.22,71.9,In Flight,Pending
5005,Microsoft,Technology,Enterprise,David R.,Display Banner,Mobile,Q1 2025,Feb,76173,251,0.0033,22.77,1734.46,1723.77,1508.98,0.87,558.32,950.66,63.0,Closed Won,Invoiced
5006,Adobe,Technology,Enterprise,Maria G.,Display Banner,Mobile,Q4 2025,Nov,179524,2046,0.0114,25.21,4525.8,4044.3,4412.66,0.975,1085.51,3327.15,75.4,In Flight,Pending
5007,Red Bull,CPG,Mid-Market,Sarah K.,Sponsored Stream,Desktop,Q2 2025,May,179945,4912,0.0273,23.9,4300.69,5064.47,4085.66,0.95,1519.87,2565.79,62.8,Closed Won,Invoiced
5008,Unilever,CPG,Mid-Market,Sarah K.,Interactive Overlay,Desktop,Q4 2025,Dec,52614,1173,0.0223,17.47,919.17,1013.74,768.43,0.836,132.94,635.49,82.7,Closed Won,Invoiced
5009,Unilever,CPG,Enterprise,James L.,Display Banner,Multi-Platform,Q1 2025,Feb,50000,740,0.0148,27.6,1380.0,1445.53,1331.7,0.965,607.26,724.44,54.4,Closed Won,Received
5010,Toyota,Automotive,Mid-Market,Priya S.,Audio Ad,Desktop,Q2 2025,May,527872,6809,0.0129,21.24,11212.0,11547.68,11772.6,1.05,3366.96,8405.64,71.4,Renewal Pending,Invoiced
5011,Microsoft,Technology,Growth,Alex T.,Display Banner,Desktop,Q4 2025,Nov,175647,1247,0.0071,28.19,4951.49,4984.07,4292.94,0.867,1631.32,2661.62,62.0,Closed Won,Invoiced
5012,Coca-Cola,CPG,Mid-Market,Priya S.,Sponsored Stream,Mobile,Q2 2025,Jun,564993,16836,0.0298,28.02,15831.1,15878.55,13662.24,0.863,5451.23,8211.01,60.1,In Flight,Pending
5013,Samsung,Technology,Mid-Market,Priya S.,Display Banner,Mobile,Q4 2025,Oct,539756,4210,0.0078,24.13,13024.31,12049.69,11995.39,0.921,3538.64,8456.75,70.5,Closed Won,Received
5014,Meta,Technology,Growth,James L.,Interactive Overlay,Multi-Platform,Q3 2025,Aug,292953,5859,0.02,17.11,5012.43,6357.22,5162.8,1.03,1393.96,3768.84,73.0,Closed Won,Overdue
5015,Spotify,Entertainment,Enterprise,Priya S.,Audio Ad,Mobile,Q3 2025,Sep,170640,1672,0.0098,26.79,4571.45,5658.95,4045.73,0.885,1367.46,2678.27,66.2,In Flight,Pending
5016,Samsung,Technology,Mid-Market,Maria G.,Video Pre-Roll,Multi-Platform,Q2 2025,Jun,118406,3315,0.028,24.28,2874.9,3124.29,3018.65,1.05,1298.02,1720.63,57.0,In Flight,Pending
5017,Nike,Retail,Growth,James L.,Audio Ad,CTV,Q3 2025,Aug,289200,5176,0.0179,13.08,3782.74,3427.54,3158.59,0.835,1058.13,2100.46,66.5,Closed Won,Received
5018,Meta,Technology,Enterprise,Maria G.,Interactive Overlay,Desktop,Q3 2025,Jul,143216,2749,0.0192,23.61,3381.33,3668.32,3161.54,0.935,1296.23,1865.31,59.0,Closed Won,Received
5019,Meta,Technology,Mid-Market,James L.,Sponsored Stream,Desktop,Q3 2025,Jul,101549,2894,0.0285,27.24,2766.19,2779.89,2168.69,0.784,930.37,1238.32,57.1,Renewal Pending,Received
5020,EA Games,Gaming,Mid-Market,Priya S.,Video Pre-Roll,Mobile,Q3 2025,Jul,50000,775,0.0155,27.25,1362.5,1341.87,1151.31,0.845,381.08,770.23,66.9,Closed Won,Overdue
5021,Procter & Gamble,CPG,Mid-Market,Maria G.,Interactive Overlay,Mobile,Q2 2025,Jun,152286,3137,0.0206,21.56,3283.29,3163.3,2964.81,0.903,1005.07,1959.74,66.1,In Flight,Pending
5022,Sony,Technology,Mid-Market,Maria G.,Interactive Overlay,CTV,Q2 2025,May,391341,6144,0.0157,15.1,5909.25,4975.17,5566.51,0.942,2026.21,3540.3,63.6,In Flight,Pending
5023,Warner Bros,Entertainment,Growth,Maria G.,Video Pre-Roll,Mobile,Q2 2025,May,445723,12524,0.0281,24.91,11102.96,10248.66,11313.92,1.019,5249.66,6064.26,53.6,In Flight,Pending
5024,Warner Bros,Entertainment,Growth,James L.,Audio Ad,Mobile,Q1 2025,Mar,169841,2870,0.0169,16.45,2793.88,2495.21,2413.91,0.864,762.8,1651.11,68.4,Renewal Pending,Received
5025,Red Bull,CPG,Enterprise,David R.,Video Pre-Roll,Desktop,Q2 2025,May,79940,2094,0.0262,35.43,2832.27,2876.03,2701.99,0.954,1253.72,1448.27,53.6,In Flight,Pending
5026,Meta,Technology,Growth,Priya S.,Video Pre-Roll,Desktop,Q4 2025,Nov,335103,6769,0.0202,31.07,10411.65,8847.27,8464.67,0.813,3182.72,5281.95,62.4,Closed Won,Received
5027,Intel,Technology,Enterprise,Maria G.,Homepage Takeover,Mobile,Q4 2025,Oct,160766,4935,0.0307,41.78,6716.8,6659.57,6723.52,1.001,1855.69,4867.83,72.4,Closed Won,Invoiced
5028,Coca-Cola,CPG,Mid-Market,Alex T.,Homepage Takeover,Mobile,Q2 2025,May,121474,2599,0.0214,27.22,3306.52,4320.21,3389.18,1.025,1172.66,2216.52,65.4,Closed Won,Overdue
5029,Netflix,Entertainment,Mid-Market,David R.,Sponsored Stream,Mobile,Q4 2025,Nov,50780,1020,0.0201,36.65,1861.09,1437.13,1866.67,1.003,444.27,1422.4,76.2,Closed Won,Overdue
5030,Red Bull,CPG,Mid-Market,Alex T.,Video Pre-Roll,Desktop,Q3 2025,Sep,875901,19357,0.0221,28.14,24647.85,24512.01,24721.79,1.003,5315.18,19406.61,78.5,Renewal Pending,Invoiced
5031,Adobe,Technology,Mid-Market,Priya S.,Audio Ad,CTV,Q4 2025,Dec,293818,3026,0.0103,18.82,5529.65,5199.13,5048.57,0.913,2074.96,2973.61,58.9,Closed Won,Overdue
5032,PepsiCo,CPG,Growth,Priya S.,Video Pre-Roll,Multi-Platform,Q4 2025,Oct,320295,8487,0.0265,40.61,13007.18,14920.48,12252.76,0.942,5268.69,6984.07,57.0,In Flight,Pending
5033,Adobe,Technology,Mid-Market,Maria G.,Video Pre-Roll,Mobile,Q4 2025,Dec,81613,1681,0.0206,32.69,2667.93,2111.28,2433.15,0.912,844.3,1588.85,65.3,In Flight,Pending
5034,Riot Games,Gaming,Mid-Market,Maria G.,Video Pre-Roll,Mobile,Q1 2025,Jan,173476,3053,0.0176,22.88,3969.13,4386.7,3635.72,0.916,1290.68,2345.04,64.5,In Flight,Pending
5035,Toyota,Automotive,Enterprise,James L.,Homepage Takeover,Multi-Platform,Q2 2025,Apr,152482,3186,0.0209,35.99,5487.83,5753.83,4725.02,0.861,1379.71,3345.31,70.8,Closed Won,Overdue
5036,Disney,Entertainment,Growth,David R.,Audio Ad,Mobile,Q1 2025,Feb,304271,5629,0.0185,16.16,4917.02,6022.01,4636.75,0.943,1701.69,2935.06,63.3,In Flight,Pending
5037,Riot Games,Gaming,Growth,David R.,Sponsored Stream,Mobile,Q4 2025,Oct,483001,5940,0.0123,40.72,19667.8,18843.41,18743.41,0.953,10271.39,8472.02,45.2,Closed Won,Received
5038,PepsiCo,CPG,Growth,Maria G.,Interactive Overlay,Desktop,Q2 2025,May,51669,821,0.0159,22.67,1171.34,1212.29,1170.17,0.999,527.75,642.42,54.9,In Flight,Pending
5039,Samsung,Technology,Enterprise,Priya S.,Video Pre-Roll,CTV,Q4 2025,Oct,68889,2066,0.03,36.27,2498.6,3066.64,2376.17,0.951,812.65,1563.52,65.8,Closed Won,Invoiced
5040,Intel,Technology,Enterprise,Maria G.,Homepage Takeover,Desktop,Q2 2025,Jun,272826,6902,0.0253,44.58,12162.58,12262.01,12040.95,0.99,4021.68,8019.27,66.6,Renewal Pending,Received
5041,Warner Bros,Entertainment,Enterprise,Priya S.,Display Banner,Multi-Platform,Q4 2025,Dec,108399,2016,0.0186,20.81,2255.78,2230.41,1939.97,0.86,605.27,1334.7,68.8,Closed Won,Invoiced
5042,Adobe,Technology,Enterprise,Priya S.,Display Banner,CTV,Q1 2025,Mar,312356,5341,0.0171,24.88,7771.42,8009.27,8035.65,1.034,1679.45,6356.2,79.1,Closed Won,Invoiced
5043,Meta,Technology,Mid-Market,Maria G.,Video Pre-Roll,Multi-Platform,Q1 2025,Jan,120759,2656,0.022,28.74,3470.61,4441.0,3127.02,0.901,944.36,2182.66,69.8,Closed Won,Invoiced
5044,Microsoft,Technology,Growth,Sarah K.,Sponsored Stream,CTV,Q2 2025,Apr,59932,1000,0.0167,26.85,1609.17,1554.91,1216.53,0.756,507.29,709.24,58.3,In Flight,Pending
5045,Warner Bros,Entertainment,Mid-Market,David R.,Homepage Takeover,Mobile,Q2 2025,May,50000,1020,0.0204,31.87,1593.5,1879.39,1416.62,0.889,364.07,1052.55,74.3,In Flight,Pending
5046,Coca-Cola,CPG,Enterprise,Alex T.,Sponsored Stream,Mobile,Q2 2025,May,239738,4387,0.0183,35.62,8539.47,7716.11,8249.13,0.966,2656.22,5592.91,67.8,Closed Won,Invoiced
5047,Disney,Entertainment,Enterprise,Priya S.,Display Banner,Multi-Platform,Q4 2025,Nov,244487,4254,0.0174,30.25,7395.73,7923.85,6855.84,0.927,1631.69,5224.15,76.2,Closed Won,Invoiced
5048,EA Games,Gaming,Enterprise,Priya S.,Video Pre-Roll,Multi-Platform,Q1 2025,Feb,353688,9301,0.0263,21.89,7742.23,6966.73,5922.81,0.765,2540.89,3381.92,57.1,Closed Won,Received
5049,Toyota,Automotive,Enterprise,Sarah K.,Sponsored Stream,Mobile,Q2 2025,Apr,211567,4358,0.0206,40.08,8479.61,8465.3,7945.39,0.937,1771.82,6173.57,77.7,Closed Won,Received
